Job Title,Company,Location,Skills,Work Experience,Work Status
Data Analyst,Gomla Market ,"Ameria, Alexandria, Egypt ",Entry Level · Business Development · Logistics/Supply Chain · Analyst/Research · Analysis · SAS · SPSS · SQL · Statistics · Data Analysis · Data, 1 - 2 Yrs of Exp ,Full Time
Senior Data Analyst - Cairo,Confidential ,"Cairo, Egypt ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data · Google Analytics · Marketing · Management · MS Office · RSC · Analysis, 5 - 9 Yrs of Exp ,Full Time
Senior Data Analyst,Alarabia Group ,"10th of Ramadan City, Cairo, Egypt ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · BI Developer · Computer Science · developer · Information Technology (IT) · Power · Power BI, 2 - 5 Yrs of Exp ,Full Time
Data Analyst,Hands of Hope Physical Therapy & Wellness ,"Maadi, Cairo, Egypt ",Experienced · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau · SPSS, 3 - 18 Yrs of Exp ,Full Time
Data Analyst,Gila Electric ,"New Cairo, Cairo, Egypt ",Experienced · Accounting/Finance · IT/Software Development · Analyst/Research · Analysis · business · Computer Science · Commerce · analytical · Communication skills · Analyst, 2 - 4 Yrs of Exp ,Full Time
Data Analyst,Lecico Egypt ,"Alexandria, Egypt ",Experienced · Analyst/Research · Analysis · Data Analyst · Data Analysis · Analyst · English, 2 - 5 Yrs of Exp ,Full Time
Data Analyst - Quality Assurance Department,IdealRatings ,"Heliopolis, Cairo, Egypt ",Entry Level · Accounting/Finance · Quality · Analyst/Research · Finance · Quality Assurance · Economic Statistics · Skills · Detail Oriented · QA · English, 0 - 2 Yrs of Exp ,Full Time
Senior Business Intelligence Analyst,Future Group ,"Dokki, Giza, Egypt ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · Analysis · analytical · Computer Science · Business Analysis · Information Technology (IT) · Analyst, 3+ Yrs of Exp ,Full Time
Business System Analyst,The Food Lab ,"Maadi, Cairo, Egypt ",Entry Level · Analyst/Research · Analysis · Computer Science · Data Analysis · Data Analyst · Information Technology (IT) · Analyst · Data, 1 - 3 Yrs of Exp ,Work From Home
Senior Data Analyst,Z2 Data ,"Nasr City, Cairo, Egypt ",Experienced · Analyst/Research · Data Analysis · Analysis · Administration · Computer Science · Data Analyst · Database · Data · Analyst · Information Technology (IT), 2 - 4 Yrs of Exp ,Full Time
Senior Financial Analyst,Future Group ,"Dokki, Giza, Egypt ",Experienced · Accounting/Finance · Analyst/Research · Financial Data Analysis · Finance · analytical · Accounting · ACCA · CMA · English · excel, 2 - 4 Yrs of Exp ,Full Time
Chargeback Analyst,WebBeds ,"Nasr City, Cairo, Egypt ",Experienced · Accounting/Finance · Analyst/Research · Revenue Management · Financial Accounting · Data Analytics · Dispute claims · Travel · Tourism · Accounting · Finance, 5 - 7 Yrs of Exp ,Full Time
Senior Treasury Analyst,TAQA Petroleum ,"Garden City, Cairo, Egypt ",Experienced · Accounting/Finance · Analyst/Research · Finance · Financial Data Analysis · Accounting · Analysis · Treasury · Treasury Accounting, 4 - 5 Yrs of Exp ,Full Time
Data Analyst - Banha,Z2 Data ,"Banha, Qalubia, Egypt ",Entry Level · Business Development · Analyst/Research · Analysis · Commerce · Computer Science · Data Analysis · English · MS Office · Information Technology (IT), 0 - 3 Yrs of Exp ,Full Time
Senior Financial Data Analyst,Z2 Data ,"Nasr City, Cairo, Egypt ",Experienced · Accounting/Finance · Analyst/Research · Analysis · Accounting · Financial · Communication skills · Commerce · CFA · Data · Data Analysis, 3 - 5 Yrs of Exp ,Full Time
